"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"823.92","016861618","Monograph","Language material ; Still image ; Text","Volume","GBB5E1744","","9781909766754","","","","","Disney Enterprises (1996-) [organisation]","Alice in Wonderland","","","","England","London","Hachette","2014","","1 volume (unpaged), colour illustrations, 24 cm","YKL.2015.a.4853","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Novel","English","At head of title: Disney","",""
"823.92","016899045","Monograph","Language material ; Still image ; Text","Volume","GBB4B7254","","9781910271353","","","","","Rossi, Francesca, 1983-, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","Classic fairy tales","","England","London","Plurus","2014","","1 volume, colour illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","016939156","Monograph","Language material ; Still image ; Text","Volume","GBB4C6048","","9780723292180","Randall, Ronne","","person","author","Busby, Ailie, artist [person] ; Carroll, Lewis, 1832-1898 [person] ; Randall, Ronne, author [person]","Alice in Wonderland","Alice's adventures in Wonderland","Ladybird first favourite tales","","England","London","Ladybird","2015","","25 unnumbered pages, chiefly colour illustrations, 19 cm","YKL.2016.a.1554","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Children's fiction ; Pictorial work","English","","",""
"823.92","017002040","Monograph","Language material ; Still image ; Text","Volume","GBB502011","","9781847176899","Curtin, Judi","","person","author","Curtin, Judi, author [person] ; Fox, Woody, illustrator [person]","Bonjour Alice","","","","Ireland","Dublin","O'Brien Press","2015","","253 pages, illustrations, 20 cm","","Megan (Fictitious character : Curtin)--Juvenile fiction ; Best friends--Juvenile fiction ; France--Juvenile fiction ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Originally published: 2008","",""
"823.92","017002041","Monograph","Language material ; Still image ; Text","Volume","GBB502012","","9781847176912","Curtin, Judi","","person","author","Curtin, Judi, author [person] ; Fox, Woody, illustrator [person]","Alice to the rescue","","","","Ireland","Dublin","O'Brien Press","2015","","260 pages, illustrations, 20 cm","YKL.2016.a.4382","Megan (Fictitious character : Curtin)--Juvenile fiction ; Best friends--Juvenile fiction ; Essays--Authorship--Competitions--Juvenile fiction ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Originally published: 2009","",""
"823.92","017010957","Monograph","Language material ; Still image ; Text","Volume","GBB506089","","9781847176905","Curtin, Judi","","person","author","Curtin, Judi, author [person] ; Fox, Woody, illustrator [person]","Alice & Megan forever","","","","Ireland","Dublin","O'Brien Press","2015","","287 pages, illustrations, 20 cm","","Megan (Fictitious character : Curtin)--Juvenile fiction ; Best friends--Juvenile fiction ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Originally published: 2008","",""
"823.92","017035986","Monograph","Language material ; Text","Volume","GBB512014","","9780141357829 ; 9780141358055","Cassidy, Cathy","1962-","person","author","Cassidy, Cathy, 1962-, author [person] ; Carroll, Lewis, 1832-1898 [person]","Looking-glass girl","","","","United Kingdom","","Puffin","2015","","261 pages, black and white illustrations, 23 cm","YKL.2016.a.12088","Alice (Fictitious character : Carroll)--Juvenile fiction ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","'A wonderful modern-day reimagining of Lewis Carroll's timeless classic'--Back cover ; Additional physical form: ebook version. 9780141357843","",""
"823.92","017039438","Monograph","Language material ; Text","Online resource (ebook)","GBB515466","","9780141357843","Cassidy, Cathy","1962-","person","author","Cassidy, Cathy, 1962-, author [person] ; Carroll, Lewis, 1832-1898 [person]","Looking-glass girl","","","","England","London","Puffin","2015","","1 online resource","ELD.DS.186361","JUVENILE FICTION / Social Themes / Friendship ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Additional physical form: Print version. 9780141357829","",""
"823.92","017149943","Monograph","Language material ; Still image ; Text","Volume","GBB729290","","9781847806796","Bryksenkova, Yelena","","person","artist","Bryksenkova, Yelena, artist [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Classics unfolded","4 [Classics unfolded]","England","","","2015","","1 folded sheet (14 pages), chiefly colour illustrations, 23 cm","YKL.2017.a.3277","","","English","In slip-case","",""
"823.92","017184016","Monograph","Language material ; Text","Volume","GBB558446","","9781782396543 ; 9781782396826","Tait, Vanessa","","person","author","Tait, Vanessa, author [person]","The looking glass house","","","","England","London","Corvus","2015","","297 pages, 22 cm","Nov.2016/2332","Hargreaves, Alice Pleasance Liddell, 1852-1934--Childhood and youth--Fiction","Fiction ; Historical fiction","English","Additional physical form: ebook version. 9781782396550","",""
"823.92","017185568","Monograph","Language material ; Text","Online resource (ebook)","GBB559994","","9781782396550","Tait, Vanessa","","person","author ; journalist","Tait, Vanessa, author ; journalist [person]","The looking glass house","","","","England","London","Corvus","2015","Main","1 online resource","ELD.DS.107852","FICTION / Historical ; FICTION / Romance / Historical / General ; Hargreaves, Alice Pleasance Liddell, 1852-1934--Childhood and youth--Fiction ; FICTION / Literary","Fiction ; Historical fiction","English","Additional physical form: Print version. 9781782396543","",""
"823.92","017372605","Monograph","Language material ; Still image ; Text","Volume","GBB567755","","9781910646069","Jay, Alison","","person","artist","Jay, Alison, artist [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","","","England","Pulborough","Old Barn","2015","","22 unnumbered pages, chiefly colour illustrations, 18 cm","CLE.2016.a.593","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Board book ; Children's fiction ; Pictorial work","English","Board book","",""
"823.92","017381374","Monograph","Language material ; Still image ; Text","Volume","GBB570591","","9781783442669","Ross, Tony","","person","artist ; author","Ross, Tony, artist ; author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","","","England","London","Andersen","2015","","93 pages, illustrations, 27 cm","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Children's fiction ; Pictorial work","English","Originally published: 1993","",""
"823.92","017419635","Monograph","Language material ; Still image ; Text","Volume","GBB583831","","9781784452469","Linn, Susie","","person","author","Linn, Susie, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Ball, Alexandra, artist [person]","Alice in Wonderland","Alice's adventures in Wonderland","","","England","Woodbridge, Suffolk","Top That","2015","","25 unnumbered pages, chiefly colour illustrations, 26 cm","LC.31.a.17167","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Children's fiction ; Pictorial work","English","Based on story by Lewis Carroll","",""
"823.92","017445367","Monograph","Language material ; Text","Volume","GBB594974","","9781510005402","Tait, Vanessa","","person","author ; journalist","Tait, Vanessa, author ; journalist [person]","The looking glass house","","","","England","Rearsby","Clipper Audio","2015","Large print edition","314 pages (large print), 24 cm","LT.2016.x.2229","Large type books ; Historical fiction ; Hargreaves, Alice Pleasance Liddell, 1852-1934--Childhood and youth--Fiction","Fiction","English","'LP3491' --spine ; Standard print edition originally published: London, Corvus","",""
"823.92","017604256","Monograph","Language material ; Text","Volume","GBB5F9483","","9781782396567","Tait, Vanessa","","person","author ; journalist","Tait, Vanessa, author ; journalist [person]","The looking glass house","","","","England","London","Corvus","2016","","297 pages, 20 cm","","Hargreaves, Alice Pleasance Liddell, 1852-1934--Childhood and youth--Fiction","Fiction ; Historical fiction","English","Originally published: 2015","",""
"823.92","017608603","Monograph","Language material ; Still image ; Text","Volume","GBB7E6938","","9780993205507","Beaumont, Sarah Elizabeth","","person","author ; illustrator","Beaumont, Sarah Elizabeth, author ; illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","Alice's London adventures in wonderland : a parody","","","","England","London","Two Monkeys Publishing","2015","","93 pages, black and white illustrations, 24 cm","YKL.2017.a.4601","Alice, (Fictitious character from Carroll)--Fiction","Fiction ; Humour or satire","English","Includes QR code","",""
"823.92","017651459","Monograph","Language material ; Text","Volume","GBB5H3186","","9780141357836","Cassidy, Cathy","1962-","person","author","Cassidy, Cathy, 1962-, author [person] ; Carroll, Lewis, 1832-1898 [person]","Looking glass girl","","","","England","London","Puffin","2016","","261 pages, 20 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Originally published: 2015","",""
"823.92","017766775","Monograph","Language material ; Still image ; Text","Volume","GBB635104","","9781782011521","Sewell, Byron W.","","person","author ; illustrator","Sewell, Byron W., author ; illustrator [person]","The annotated Alice in Nurseryland : Lewis Carroll's newly discovered suppressed precursor to The nursery 'Alice'","","","","Ireland","Portlaoise","Evertype","2016","","xxi, 81 pages, black and white illustrations, 22 cm","YKL.2018.a.640","Carroll, Lewis, 1832-1898--Parodies, imitations, etc ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Parody","English","'Text and illustrations © 2016 Byron W. Sewell.' -- Back of title page ; 'This obscure work ... is an outrageous comic parody of one of Lewis Carroll's stranger and lesser-known works, The Nursery 'Alice'. It purports to be the recently discovered (in Dead Deer, Alberta, Canada) precursor of the actual work that was written by Carroll to be read by children 'nought to five years old' -- Back cover","",""
"823.92","017911538","Monograph","Language material ; Still image ; Text","Volume","GBB690599","","9781406370706","Browne, Anthony","1946-","person","author ; illustrator","Browne, Anthony, 1946-, author ; illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","","","England","London","Walker","2016","","117 pages, illustrations, 28 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","017971660","Monograph","Language material ; Still image ; Text","Volume","GBB853903","","9781474851442","Sutherland, Tui","1978-","person","author","Sutherland, Tui, 1978-, author [person] ; Woolverton, Linda [person] ; Carroll, Lewis, 1832-1898 [person] ; Walt Disney Pictures [organisation]","Alice through the looking glass","","","","England","Bath","Parragon","2016","","299 pages, black and white illustrations, 20 cm","YKL.2018.a.2325","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Novel","English","At head of title: Disney ; Film tie-in","",""
"823.92","017971661","Monograph","Language material ; Still image ; Text","Volume","GBB838416","","9781474851435","Sutherland, Tui","1978-","person","author","Sutherland, Tui, 1978-, author [person] ; Burton, Tim, 1958- [person] ; Woolverton, Linda [person] ; Walt Disney Pictures [organisation]","Alice in Wonderland","","","","England","Bath","Parragon","2016","","234 pages, black and white illustrations, 20 cm","H.2018/.5434","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Novel","English","'Based on the film by Tim Burton'--cover ; At head of title: Disney ; Film tie-in","",""
"823.92","018084095","Monograph","Language material ; Still image ; Text","Volume","GBB6E8049","","9781782011842","Parkes, Allan William","","person","author","Furniss, Harry, 1854-1925, illustrator [person] ; Parkes, Allan William, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Everson, Michael, 1963-, editor [person] ; Rountree, Harry, 1878-1950, illustrator [person]","Alice and the boy who slew the Jabberwock : a tale inspired by Lewis Carroll's Wonderland","","","","Ireland","Portlaoise","Evertype","2016","","volumes, 128 pages, black and white illustrations, 22 cm","YKL.2018.a.637","Carroll, Lewis, 1832-1898--Parodies, imitations, etc ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Parody","English","","",""
"823.92","018104972","Monograph","Language material ; Still image ; Text","Volume","GBB6F9040","","9781782011729","Sewell, Victoria J.","","person","author ; illustrator","Sewell, Victoria J., author ; illustrator [person] ; Everson, Michael, 1963-, writer [person] ; Carroll, Lewis, 1832-1898 [person] ; Sewell, Byron W., author ; illustrator [person]","Sun-hee's adventures under the land of morning calm : a Korean tale inspired by Lewis Carroll's Alice's adventures in Wonderland","Alice's adventures in Wonderland","","","Ireland","Portlaoise","Evertype","2016","","xiii, 111 pages, black and white illustrations, 22 cm","YKL.2018.a.687","Korea (South)--Juvenile fiction ; Carroll, Lewis, 1832-1898--Parodies, imitations, etc","Children's fiction ; Parody","English","Originally published in English, Seoul : Sharing-Place, 1990, and in Korean translation, Seoul : Nanunjali, 1990","",""
"823.92","018117224","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Volume","GBB831794","","9781509820511","","","","","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland : carousel book","Alice's adventures in Wonderland","","","England","London","Macmillan","2016","","12 unnumbered pages, colour illustrations, 22 cm","YKL.2018.a.1812","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction ; Pop-up books--Specimens","Children's fiction ; Pictorial work ; Specimen","English","Pop-up book, with ribbon ties attached to covers","",""
"823.92","018246586","Monograph","Language material ; Text","Volume","GBB731581","","9780141385655","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","Puffin Classics","","England","London","Puffin","2017","V et cetera collector's edition","ix, 145 pages, illustrations, 19 cm","YKL.2018.a.3900","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","","",""
"823.92","018501715","Monograph","Language material ; Text","Volume","GBB8H6973","","9781407587608","","","","","Disney Enterprises (1996-) [organisation]","Alice in Wonderland","","","","England","Bath","Parragon","2010","","1 volume (unpaged), colour illustrations, 23 cm","YKL.2018.a.18463","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","At head of title: Disney","",""
"823.92","018506241","Monograph","Language material ; Text","Online resource","GBB7G8495","","9780723279624","Collins, Joan","1917-","person","author","Collins, Joan, 1917-, author [person] ; Carroll, Lewis, 1832-1898 [person] ; García-Cortés, Ester, 1984-, illustrator [person]","Alice in Wonderland","Alice's adventures in Wonderland","Ladybird classics","","England ; United Kingdom","London","Ladybird","2013","","1 online resource (72 pages)","ELD.DS.179844","Picture Storybooks ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","018516699","Monograph","Language material ; Text","Volume","GBC037974","","9780995747906","Bonah, Zizzi","","person","author","Bonah, Zizzi, author [person]","Alice returns : through the looking-glass","","","","England","Harrogate","Cat's Mother","2017","","125 pages, 21 cm","YKL.2019.a.8363","Alice, (Fictitious character from Carroll)--Fiction","Fantasy ; Fiction","English","Also issued in electronic format","",""
"823.92","018709163","Monograph","Language material ; Still image ; Text","Audio disc ; Volume","GBB931372","","9781786705891","Payne, Jan","","person","author","Payne, Jan, author [person] ; Cather, Hannah, editor [person] ; Morales, Eva, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","","","","England","Sywell","Igloo","2017","","1 volume (unpaged), chiefly colour illustrations, 26 cm + 1 CD","EMC.2019.b.27","","","English","'2-in-1 CD featuring both a musical retelling and narration'--Cover ; CD inserted in front cover","",""
"823.92","018731873","Monograph","Language material ; Still image ; Text","Volume","GBB828920","","9781474866828","","","","","Gulliver, Amanda, artist [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","","","England","Bath","Parragon","2018","","1 volume, chiefly colour illustrations, 25 cm","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Children's fiction ; Pictorial work","English","","",""
"823.92","018786357","Monograph","Language material ; Still image ; Text","Volume","GBB848033","","9781788286817","Regan, Lisa","1971-","person","author","Regan, Lisa, 1971-, author [person] ; Howells, Mel, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","","","England","London","Arcturus","2018","","1 volume, illustrations, 20 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","018849311","Monograph","Language material ; Text","Online resource","GBB883192","","9781847173768","Curtin, Judi","","person","author","Curtin, Judi, author [person] ; Fox, Woody, illustrator [person]","Alice to the rescue","","","","Ireland","Dublin","O'Brien Press","2013","","1 online resource, illustrations","ELD.DS.280061","Megan (Fictitious character : Curtin)--Juvenile fiction ; Best friends--Juvenile fiction ; Essays--Authorship--Competitions--Juvenile fiction ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","018915753","Monograph","Language material ; Still image ; Text","Volume","GBB8B3152","","9789383202720","","","","","Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","Om illustrated classics","","India","New Delhi","Om Books International","2018","","1 volume, illustrations, 20 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","018915758","Monograph","Language material ; Still image ; Text","Volume","GBB8B3157","","9789384225490","","","","","Carroll, Lewis, 1832-1898 [person]","Through the looking-glass","","Om illustrated classics","","India","New Delhi","Om Books International","2018","","1 volume, illustrations, 20 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","019304786","Monograph","Language material ; Text","Online resource","GBB954041","","9781847173799","Curtin, Judi","","person","author","Curtin, Judi, author [person] ; Fox, Woody, illustrator [person]","Don't ask Alice","","Alice and Megan","3 [Alice and Megan]","Ireland","Dublin","O'Brien Press","2012","","1 online resource (256 pages), 27 illustrations","ELD.DS.398293","Megan (Fictitious character : Curtin)--Juvenile fiction ; Best friends--Juvenile fiction ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","019454281","Monograph","Language material ; Still image ; Text","Volume","GBB9B7183","","9781783124855","Wood, Selina","","person","author","Wood, Selina, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","","Paperscapes","","England","London","Carlton","2019","","1 volume, illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"823.92","019494356","Monograph","Language material ; Still image ; Text","Volume","GBB9D3545","","9780593113257","Gledhill, Carly","","person","artist","Gledhill, Carly, artist [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","Penguin bedtime classics","","United States of America","New York","Penguin","2019","","1 volume, chiefly colour illustrations, 18 cm","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Board book ; Children's fiction ; Pictorial work","English","Board book","",""
"823.92","019757786","Monograph","Language material ; Text","Volume","GBC047113","","9781527256903","Fior, Jake","","person","author","Fior, Jake, author [person]","Through a looking glass darkly","","","","United Kingdom","","Alice through the Looking Glass","2020","","1 volume, 24 cm","","Alice, (Fictitious character from Carroll)--Fiction","Fantasy ; Fiction","English","","",""
"823.9208","016503877","Monograph","Language material ; Still image ; Text","Volume","GBB387481","","9781409563822","","","","","Carroll, Lewis, 1832-1898 [person] ; Grahame, Kenneth, 1859-1932 [person] ; Evangelista, Mauro, illustrator [person] ; Bingham, Jane, 1952- [person] ; Sims, Lesley [person] ; Sebag-Montefiore, Mary [person] ; Marks, Alan, 1957-, illustrator [person] ; Stower, Adam, illustrator [person] ; Burnett, Frances Hodgson, 1849-1924 [person] ; Nesbit, E. (Edith), 1858-1924 [person]","Usborne classic stories","Alice of Wonderland ; Alice's adventures in Wonderland ; Around the world in eighty days ; Classic stories ; Railway children ; Secret garden ; Wind in the Willows ; Wind in the willows","","","England","London","Usborne","2013","","5 volumes, colour illustrations, slipcase (21 x 14 x 6 cm)","YK.2014.a.11157","Children's stories, English","","English","Title from cover of slip case","",""
"823.9208","016856040","Monograph","Language material ; Still image ; Text","Volume","GBB493198","","9781409586623","","","","","Sims, Lesley, editor [person] ; Sims, Lesley [person] ; Milbourne, Anna [person] ; Tyler, Jenny, editor [person] ; Davidson, Susanna [person] ; Doherty, Gillian, editor [person]","Alice in Wonderland & other stories","Alice in Wonderland ; Nutcracker ; On the farm ; Snow Queen ; Town mouse and the country mouse","Usborne stories for little children","","England","London","Usborne","2014","","135 pages, chiefly colour illustrations, 26 cm","LC.31.a.17736","Children's stories, English","","English","","",""
"8238","012235679","Monograph","Language material ; Text","Volume","GB6911177","","9780804800051","Carroll, Lewis","1832-1898","person","author","Newell, Peter, 1862-1924, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland : and, Through the looking-glass, and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","","","England","Hemel Hempstead ; Rutland","Prentice Hall ; Tuttle","1968","","529 pages, illustrations, 22 cm","","","","English","","",""
"827.89","009582157","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Hudson, Gwynedd M., illustrator [person] ; Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","","","","","","1932","Centenary edition","","W25/9290","","","English","","",""
"828.3","009464588","Monograph","Language material ; Text","Volume","GB9168950","","9780856944635","Hatch, Beatrice","","person","","Hatch, Beatrice [person]","Lewis Carroll (Charles Lutwidge Dodgson) : born 1832","","","","United Kingdom Miscellaneous Islands","","Toucan","1991","","12 pages","YK.1992.a.9443","Carroll, Lewis, 1832-1898 ; English fiction--Children's stories","","English","","",""
"828.803","013134382","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","","Lewis Carroll Society [organisation] ; Wakeling, Edward [person] ; Carroll, Lewis, 1832-1898 [person]","Lewis Carroll's diaries : the private journals of Charles Lutwidge Dodgson (Lewis Carroll) : the first complete version of the nine surviving volumes with notes and annotations","","","","England","Luton","Lewis Carroll Society","1993-2007","","10 volumes, illustrations, 22 cm","95/25606 ; 95/25607 ; 96/08913 ; 97/23549 ; YC.1993.a.4452 ; YC.1995.a.523 ; YC.1997.a.3207 ; YC.2002.a.21924 ; YC.2003.a.14459 ; YC.2004.a.8579 ; YC.2005.a.3057 ; YC.2006.a.3112 ; YC.2008.a.12200 ; m03/17798 ; m03/17822 ; m06/.12418 ; m06/.12419 ; m06/.15746","Authors, English--19th century--Diaries ; Carroll, Lewis, 1832-1898--Diaries ; Mathematics teachers--Great Britain--Diaries ; Photographers--Great Britain--Diaries ; Mathematicians--Great Britain--Diaries","Diary","English","","",""
"828.809","008026338","Monograph","Language material ; Text","Volume","","","9788820731472","Mallardi, Rosella","","person","author","Mallardi, Rosella, author [person]","Lewis Carroll scrittore-fotografo vittoriano : le voci del profondo e l'inconscio ottico","","Critica e letteratura ; Domini","28 [Critica e letteratura]","Italy","Napoli","Liguori","2001","1st edition","viii, 207 pages, illustrations, 24 cm","YA.2002.a.37017","Literature and photography--England--History--19th century ; Carroll, Lewis, 1832-1898 ; Carroll, Lewis, 1832-1898--Criticism and interpretation ; Carroll, Lewis, 1832-1898--Illustrations","","Italian","","",""
"828.809","008077256","Monograph","Language material ; Text","Volume","GB7828977","","9780486235691","Carroll, Lewis","1832-1898","person","","McDermott, John Francis, 1902-1981 [person] ; Carroll, Lewis, 1832-1898 [person]","The Russian journal, and other selections from the works of Lewis Carroll","Journal of a tour in Russia in 1867","","","England ; United States of America","London ; New York","Constable ; Dover","1977","","252 pages, illustrations, facsimiles, 22 cm","X.909/42717","English literature--1837-1900--Texts ; Children's literature, English ; Russia--Description and travel--19th century ; Carroll, Lewis, 1832-1898--Travel--Russia ; Carroll, Lewis, 1832-1898--Diaries ; Carroll, Lewis, 1832-1898--Alice in Wonderland ; Russia--Social life and customs--19th century","Diary","English","This collection originally published: New York : Dutton, 1935","",""
"828.809","008126133","Monograph","Language material ; Text","Volume","GBA224030","","9780930326142","Dodgson, Charles Lutwidge","1832-1898","person","","Dodgson, Charles Lutwidge, 1832-1898 [person] ; Abeles, Francine F. [person]","The political pamphlets and letters of Charles Lutwidge Dodgson and related pieces : a mathematical approach","","The pamphlets of Lewis Carroll","volume 3 [The pamphlets of Lewis Carroll]","England ; United States of America","Charlottesville ; London ; New York","Lewis Carroll Society of North America ; University Press ; Virginia","2001","","xx, 260 pages, illustrations, portraits, 24 cm","YA.2002.a.9594","Dodgson, Charles Lutwidge, 1832-1898--Correspondence ; Mathematicians--Great Britain--Correspondence ; Voting ; Authors, English--19th century--Correspondence ; Great Britain--Politics and government--1837-1901 ; Tennis ; Letters to the editor--England","Correspondence","English","","",""
"828.809","008744001","Monograph","Language material ; Text","Volume","GB7701868","","9780500011553","Huxley, Francis","","person","","Huxley, Francis [person]","The raven and the writing desk","","","","England","London","Thames & Hudson","1976","","191 pages, illustrations, facsimiles, genealogical tables, 1 map, portraits, 23 cm","76/50055 ; X.989/51144","English literature--Carroll, Lewis ; Carroll, Lewis, 1832-1898 ; Carroll, Lewis, 1832-1898--Criticism and interpretation ; Fantasy literature, English--History and criticism","","English","Includes index","",""
"828.809","009037730","Monograph","Language material ; Text","Volume","GB7303836","","9780486228389","Lennon, Florence Becker","","person","","Lennon, Florence Becker [person]","The life of Lewis Carroll (Victoria through the looking glass)","","","","England ; United States of America","London ; New York","Constable ; Dover","1972","Revised edition","5, 448, 2 pages, 6 leaves, illustrations, 1 facsimile, 1 map, portraits, 22 cm","74/1500 ; X.909/24978","Carroll, Lewis, 1832-1898 ; English literature--Carroll, Lewis--Biographies","","English","Previous edition: New York : Collier books, 1962 ; bibliography: p. 420-432. - Includes index","",""
"828.809","011380854","Monograph","Language material ; Text","Volume","","","9780875980768","Cohen, Morton N. (Morton Norton)","1921-2017","person","author","Pierpont Morgan Library [organisation] ; Cohen, Morton N. (Morton Norton), 1921-2017, author [person]","Lewis Carroll and Alice, 1832-1982","","","","United States of America","New York","Pierpont Morgan Library","1982","","133 pages, illustrations, facsimiles, portraits, 26 cm","X.950/24630","Photography of children--Exhibitions ; Carroll, Lewis, 1832-1898--Exhibitions ; Authors, English--19th century--Biography--Exhibitions ; Hargreaves, Alice Pleasance Liddell, 1852-1934--Exhibitions ; English literature--Carroll, Lewis--1832-1898","Exhibition","English","Catalogue of an exhibition at the Pierpont Morgan Library","",""
"828.809","012679208","Monograph","Language material ; Text","Volume","GB7903927","","9780904041880","Carroll, Lewis","1832-1898","person","author","Gasson, Roy, editor [person] ; Carroll, Lewis, 1832-1898, author [person]","The illustrated Lewis Carroll","Works. Selections","","","England","London","Jupiter","1978","","iii-xxxv, 334 pages, 24 pages of plates, illustrations, portraits, 26 cm","79/2930 ; X.981/21343","Alice, (Fictitious character from Carroll)--Fiction ; English literature--1837-1900--Texts","","English","","",""
"828.809","013174980","Monograph","Language material ; Text","Volume","GBA531324","","9781400054411","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Sunshine, Linda [person]","All things Alice : the wit, wisdom, and Wonderland of Lewis Carroll","","","","England ; United States of America","London ; New York","Hi Marketing ; Random House","2005","","352 pages, illustrations, 17 cm","","Carroll, Lewis, 1832-1898 ; Carroll, Lewis, 1832-1898--Illustrations ; Children's stories, English--Illustrations ; Alice, (Fictitious character from Carroll) ; Carroll, Lewis, 1832-1898--Quotations","Illustration ; Quotation or maxim","English","","",""
"828.809","014580456","Monograph","Language material ; Text","Volume","GBB018344","","9781840220742","Carroll, Lewis","1832-1898","person","author","Tenniel, John, 1820-1914 [person] ; Carroll, Lewis, 1832-1898, author [person]","The complete illustrated Lewis Carroll","Alice's adventures in Wonderland -- ; Rhyme and reason -- ; Sylvie and Bruno -- ; Sylvie and Bruno concluded -- ; Through the looking-glass & what Alice found there -- ; Works","Wordsworth library collection","","England","Ware","Wordsworth","2008","","1232 pages, illustrations, 24 cm","Nov.2009/1810","Alice, (Fictitious character from Carroll)--Literary collections ; Carroll, Lewis, 1832-1898--Literary collections","Compendium or compilation","English","","",""
"828.809","017914271","Monograph","Language material ; Text","Volume","GBB693332","","9780785834199","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland and other tales","Works. Selections","","","United States of America","Edison","Chartwell","2016","","1 volume, 24 cm","","","","English","","",""
